,Name,VelStart,VelEnd,VelPixel
0,hd6226,-270.0,270.0,4.5
1,hd7636,-450.0,450.0,7.5
2,hd10144,-735.0,735.0,12.25
3,hd10516,-840.0,840.0,14.0
4,hd11415,-180.0,180.0,3.0
5,hd20336,-960.0,960.0,16.0
6,hd22192,-810.0,810.0,13.5
7,hd23302,-543.0,543.0,9.05
8,hd23630,-510.0,510.0,8.5
9,hd32343,-330.0,330.0,5.5
10,hd32991,-600.0,600.0,10.0
11,hd33328,-900.0,900.0,15.0
12,hd35411,-570.0,570.0,9.5
13,hd37202,-750.0,750.0,12.5
14,hd37795,-630.0,630.0,10.5
15,hd44506,-840.0,840.0,14.0
16,hd45725,-960.0,960.0,16.0
17,hd48917,-600.0,600.0,10.0
18,hd50013,-750.0,750.0,12.5
19,hd50209,-600.0,600.0,10.0
20,hd50820,-600.0,600.0,10.0
21,hd52918,-810.0,810.0,13.5
22,hd54309,-660.0,660.0,11.0
23,hd56139,-300.0,300.0,5.0
24,hd58050,-480.0,480.0,8.0
25,hd58343,-180.0,180.0,3.0
26,hd58715,-780.0,780.0,13.0
27,hd58978,-930.0,930.0,15.5
28,hd62367,-375.0,375.0,6.25
29,hd65875,-600.0,600.0,10.0
30,hd67698,-330.0,330.0,5.5
31,hd71072,-810.0,810.0,13.5
32,hd72067,-540.0,540.0,9.0
33,hd76838,-600.0,600.0,10.0
34,hd77320,-1050.0,1050.0,17.5
35,hd78764,-450.0,450.0,7.5
36,hd89884,-900.0,900.0,15.0
37,hd90966,-225.0,225.0,3.75
38,hd91120,-750.0,750.0,12.5
39,hd92938,-450.0,450.0,7.5
40,hd105435,-840.0,840.0,14.0
41,hd109387,-600.0,600.0,10.0
42,hd110335,-660.0,660.0,11.0
43,hd110432,-690.0,690.0,11.5
44,hd112091,-750.0,750.0,12.5
45,hd120324,-480.0,480.0,8.0
46,hd138749,-960.0,960.0,16.0
47,hd143275,-450.0,450.0,7.5
48,hd148184,-450.0,450.0,7.5
49,hd164284,-900.0,900.0,15.0
50,hd164906,-1050.0,1050.0,17.5
51,hd170783,-825.0,825.0,13.75
52,hd173948,-510.0,510.0,8.5
53,hd174237,-480.0,480.0,8.0
54,hd175869,-495.0,495.0,8.25
55,hd178175,-450.0,450.0,7.5
56,hd181231,-600.0,600.0,10.0
57,hd187567,-600.0,600.0,10.0
58,hd187811,-720.0,720.0,12.0
59,hd189687,-690.0,690.0,11.5
60,hd191610,-900.0,900.0,15.0
61,hd192685,-690.0,690.0,11.5
62,hd198183,-450.0,450.0,7.5
63,hd202904,-750.0,750.0,12.5
64,hd203467,-570.0,570.0,9.5
65,hd205637,-765.0,765.0,12.75
66,hd209409,-840.0,840.0,14.0
67,hd212076,-390.0,390.0,6.5
68,hd212571,-780.0,780.0,13.0
69,hd214748,-600.0,600.0,10.0
70,hd216200,-705.0,705.0,11.75
71,hd217050,-930.0,930.0,15.5
72,hd217675,-690.0,690.0,11.5
73,hd217891,-360.0,360.0,6.0
74,hd221507,-120.0,120.0,2.6
75,hd224686,-870.0,870.0,14.5
76,hd239712,-870.0,870.0,14.5
77,bd-134933,-720.0,720.0,12.0
